seconds	current_frontend	desired_frontend	current_traefik	desired_traefik
1656355571	1.0	1.0	1.0	1.0
1656355572	1.0	1.0	1.0	1.0
1656355573	1.0	1.0	1.0	1.0
1656355574	1.0	1.0	1.0	1.0
1656355575	1.0	1.0	1.0	1.0
1656355576	1.0	1.0	1.0	3.0
1656355577	1.0	1.0	1.0	3.0
1656355578	1.0	1.0	1.0	3.0
1656355579	1.0	1.0	1.0	3.0
1656355580	1.0	1.0	1.0	3.0
1656355581	1.0	1.0	1.0	3.0
1656355582	1.0	1.0	1.0	3.0
1656355583	1.0	1.0	1.0	3.0
1656355584	1.0	1.0	1.0	3.0
1656355585	1.0	1.0	1.0	3.0
1656355586	1.0	1.0	1.0	3.0
1656355587	1.0	1.0	1.0	3.0
1656355588	1.0	1.0	1.0	3.0
1656355589	1.0	1.0	1.0	3.0
1656355590	1.0	1.0	3.0	3.0
1656355591	1.0	1.0	3.0	3.0
1656355592	1.0	1.0	3.0	3.0
1656355593	1.0	1.0	3.0	3.0
1656355594	1.0	1.0	3.0	3.0
1656355595	1.0	1.0	3.0	3.0
1656355596	1.0	1.0	3.0	3.0
1656355597	1.0	1.0	3.0	3.0
1656355598	1.0	1.0	3.0	3.0
1656355599	1.0	1.0	3.0	3.0
1656355600	1.0	1.0	3.0	3.0
1656355601	1.0	1.0	3.0	3.0
1656355602	1.0	1.0	3.0	3.0
1656355603	1.0	1.0	3.0	3.0
1656355604	1.0	1.0	3.0	3.0
1656355605	1.0	1.0	3.0	3.0
1656355606	1.0	1.0	3.0	3.0
1656355607	1.0	1.0	3.0	3.0
1656355608	1.0	1.0	3.0	3.0
1656355609	1.0	1.0	3.0	3.0
1656355610	1.0	1.0	3.0	3.0
1656355611	1.0	1.0	3.0	3.0
1656355612	1.0	1.0	3.0	3.0
1656355613	1.0	1.0	3.0	3.0
1656355614	1.0	1.0	3.0	3.0
1656355615	1.0	1.0	3.0	3.0
1656355616	1.0	1.0	3.0	3.0
1656355617	1.0	1.0	3.0	3.0
1656355618	1.0	1.0	3.0	3.0
1656355619	1.0	1.0	3.0	3.0
1656355620	1.0	1.0	3.0	3.0
1656355621	1.0	1.0	3.0	3.0
1656355622	1.0	1.0	3.0	3.0
1656355623	1.0	1.0	3.0	3.0
1656355624	1.0	1.0	3.0	3.0
1656355625	1.0	1.0	3.0	3.0
1656355626	1.0	1.0	3.0	3.0
1656355627	1.0	1.0	3.0	3.0
1656355628	1.0	1.0	3.0	3.0
1656355629	1.0	1.0	3.0	3.0
1656355630	1.0	1.0	3.0	3.0
1656355631	1.0	1.0	3.0	3.0
1656355632	1.0	1.0	3.0	3.0
1656355633	1.0	1.0	3.0	3.0
1656355634	1.0	1.0	3.0	3.0
1656355635	1.0	1.0	3.0	3.0
1656355636	1.0	1.0	3.0	3.0
1656355637	1.0	1.0	3.0	3.0
1656355638	1.0	1.0	3.0	3.0
1656355639	1.0	1.0	3.0	3.0
1656355640	1.0	1.0	3.0	3.0
1656355641	1.0	1.0	3.0	3.0
1656355642	1.0	1.0	3.0	3.0
1656355643	1.0	1.0	3.0	3.0
1656355644	1.0	1.0	3.0	3.0
1656355645	1.0	1.0	3.0	3.0
1656355646	1.0	1.0	3.0	3.0
1656355647	1.0	1.0	3.0	3.0
1656355648	1.0	1.0	3.0	3.0
1656355649	1.0	1.0	3.0	3.0
1656355650	1.0	1.0	3.0	3.0
1656355651	1.0	1.0	3.0	3.0
1656355652	1.0	1.0	3.0	3.0
1656355653	1.0	1.0	3.0	3.0
1656355654	1.0	1.0	3.0	3.0
1656355655	1.0	1.0	3.0	3.0
1656355656	1.0	1.0	3.0	3.0
1656355657	1.0	1.0	3.0	3.0
1656355658	1.0	1.0	3.0	3.0
1656355659	1.0	1.0	3.0	3.0
1656355660	1.0	1.0	3.0	3.0
1656355661	1.0	1.0	3.0	3.0
1656355662	1.0	1.0	3.0	3.0
1656355663	1.0	1.0	3.0	3.0
1656355664	1.0	2.0	3.0	3.0
1656355665	1.0	2.0	3.0	3.0
1656355666	1.0	2.0	3.0	5.0
1656355667	1.0	2.0	3.0	5.0
1656355668	1.0	2.0	3.0	5.0
1656355669	1.0	2.0	3.0	5.0
1656355670	1.0	2.0	3.0	5.0
1656355671	1.0	2.0	3.0	5.0
1656355672	1.0	2.0	3.0	5.0
1656355673	1.0	2.0	3.0	5.0
1656355674	1.0	2.0	3.0	5.0
1656355675	1.0	2.0	3.0	5.0
1656355676	1.0	2.0	3.0	5.0
1656355677	1.0	2.0	3.0	5.0
1656355678	2.0	2.0	5.0	5.0
1656355679	2.0	2.0	5.0	5.0
1656355680	2.0	2.0	5.0	5.0
1656355681	2.0	2.0	5.0	5.0
1656355682	2.0	2.0	5.0	5.0
1656355683	2.0	2.0	5.0	5.0
1656355684	2.0	2.0	5.0	5.0
1656355685	2.0	2.0	5.0	5.0
1656355686	2.0	2.0	5.0	5.0
1656355687	2.0	2.0	5.0	5.0
1656355688	2.0	2.0	5.0	5.0
1656355689	2.0	2.0	5.0	5.0
1656355690	2.0	2.0	5.0	5.0
1656355691	2.0	2.0	5.0	5.0
1656355692	2.0	2.0	5.0	5.0
1656355693	2.0	2.0	5.0	5.0
1656355694	2.0	2.0	5.0	5.0
1656355695	2.0	2.0	5.0	8.0
1656355696	2.0	2.0	5.0	8.0
1656355697	2.0	2.0	5.0	8.0
1656355698	2.0	2.0	5.0	8.0
1656355699	2.0	2.0	5.0	8.0
1656355700	2.0	2.0	5.0	8.0
1656355701	2.0	2.0	5.0	8.0
1656355702	2.0	2.0	5.0	8.0
1656355703	2.0	2.0	5.0	8.0
1656355704	2.0	2.0	5.0	8.0
1656355705	2.0	2.0	5.0	8.0
1656355706	2.0	2.0	5.0	8.0
1656355707	2.0	2.0	5.0	8.0
1656355708	2.0	2.0	5.0	8.0
1656355709	2.0	2.0	5.0	8.0
1656355710	2.0	2.0	8.0	8.0
1656355711	2.0	2.0	8.0	8.0
1656355712	2.0	2.0	8.0	8.0
1656355713	2.0	2.0	8.0	8.0
1656355714	2.0	2.0	8.0	8.0
1656355715	2.0	2.0	8.0	8.0
1656355716	2.0	2.0	8.0	8.0
1656355717	2.0	2.0	8.0	8.0
1656355718	2.0	2.0	8.0	8.0
1656355719	2.0	2.0	8.0	8.0
1656355720	2.0	2.0	8.0	8.0
1656355721	2.0	2.0	8.0	8.0
1656355722	2.0	2.0	8.0	8.0
1656355723	2.0	2.0	8.0	8.0
1656355724	2.0	2.0	8.0	8.0
1656355725	2.0	2.0	8.0	8.0
1656355726	2.0	2.0	8.0	8.0
1656355727	2.0	2.0	8.0	8.0
1656355728	2.0	2.0	8.0	8.0
1656355729	2.0	2.0	8.0	8.0
1656355730	2.0	2.0	8.0	8.0
1656355731	2.0	2.0	8.0	8.0
1656355732	2.0	2.0	8.0	8.0
1656355733	2.0	2.0	8.0	8.0
1656355734	2.0	2.0	8.0	8.0
1656355735	2.0	2.0	8.0	8.0
1656355736	2.0	2.0	8.0	8.0
1656355737	2.0	2.0	8.0	8.0
1656355738	2.0	2.0	8.0	8.0
1656355739	2.0	2.0	8.0	8.0
1656355740	2.0	2.0	8.0	8.0
1656355741	2.0	2.0	8.0	8.0
1656355742	2.0	2.0	8.0	8.0
1656355743	2.0	2.0	8.0	8.0
1656355744	2.0	2.0	8.0	8.0
1656355745	2.0	2.0	8.0	8.0
1656355746	2.0	2.0	8.0	8.0
1656355747	2.0	2.0	8.0	8.0
1656355748	2.0	2.0	8.0	8.0
1656355749	2.0	2.0	8.0	8.0
1656355750	2.0	2.0	8.0	8.0
1656355751	2.0	2.0	8.0	8.0
1656355752	2.0	2.0	8.0	8.0
1656355753	2.0	2.0	8.0	8.0
1656355754	2.0	2.0	8.0	8.0
1656355755	2.0	2.0	8.0	8.0
1656355756	2.0	2.0	8.0	10.0
1656355757	2.0	2.0	8.0	10.0
1656355758	2.0	2.0	8.0	10.0
1656355759	2.0	2.0	8.0	10.0
1656355760	2.0	2.0	8.0	10.0
1656355761	2.0	2.0	8.0	10.0
1656355762	2.0	2.0	8.0	10.0
1656355763	2.0	2.0	8.0	10.0
1656355764	2.0	2.0	8.0	10.0
1656355765	2.0	2.0	8.0	10.0
1656355766	2.0	2.0	8.0	10.0
1656355767	2.0	2.0	8.0	10.0
1656355768	2.0	2.0	8.0	10.0
1656355769	2.0	2.0	8.0	10.0
1656355770	2.0	2.0	8.0	10.0
1656355771	2.0	2.0	8.0	10.0
1656355772	2.0	2.0	8.0	10.0
1656355773	2.0	2.0	8.0	10.0
1656355774	2.0	2.0	8.0	10.0
1656355775	2.0	2.0	8.0	10.0
1656355776	2.0	2.0	8.0	10.0
1656355777	2.0	2.0	8.0	10.0
1656355778	2.0	2.0	8.0	10.0
1656355779	2.0	2.0	8.0	10.0
1656355780	2.0	2.0	8.0	10.0
1656355781	2.0	2.0	8.0	10.0
1656355782	2.0	2.0	8.0	10.0
1656355783	2.0	2.0	8.0	10.0
1656355784	2.0	2.0	8.0	10.0
1656355785	2.0	2.0	8.0	10.0
1656355786	2.0	2.0	8.0	10.0
1656355787	2.0	2.0	8.0	10.0
1656355788	2.0	2.0	8.0	10.0
1656355789	2.0	2.0	8.0	10.0
1656355790	2.0	2.0	8.0	10.0
1656355791	2.0	2.0	8.0	10.0
1656355792	2.0	2.0	8.0	10.0
1656355793	2.0	2.0	8.0	10.0
